From	Entry	Reviewed	Entry Name	Protein names	Gene Names	Organism	Length
A8MZ59	A8MZ59	reviewed	LEUTX_HUMAN	Paired-like homeodomain transcription factor LEUTX (Leucine-twenty homeobox) (Paired-like homeobox transcription factor LEUTX) (PRD-LIKE homeobox transcription factor LEUTX)	LEUTX	Homo sapiens (Human)	198
A8TX70	A8TX70	reviewed	CO6A5_HUMAN	Collagen alpha-5(VI) chain (Collagen alpha-1(XXIX) chain) (von Willebrand factor A domain-containing protein 4)	COL6A5 COL29A1 VWA4	Homo sapiens (Human)	2615
A9QM74	A9QM74	reviewed	IMA8_HUMAN	Importin subunit alpha-8 (Karyopherin subunit alpha-7)	KPNA7	Homo sapiens (Human)	516
A9YTQ3	A9YTQ3	reviewed	AHRR_HUMAN	Aryl hydrocarbon receptor repressor (AhR repressor) (AhRR) (Class E basic helix-loop-helix protein 77) (bHLHe77)	AHRR BHLHE77 KIAA1234	Homo sapiens (Human)	697
B0YJ81	B0YJ81	reviewed	HACD1_HUMAN	Very-long-chain (3R)-3-hydroxyacyl-CoA dehydratase 1 (EC 4.2.1.134) (3-hydroxyacyl-CoA dehydratase 1) (HACD1) (Cementum-attachment protein) (CAP) (Protein-tyrosine phosphatase-like member A)	HACD1 PTPLA	Homo sapiens (Human)	288
B1AK53	B1AK53	reviewed	ESPN_HUMAN	Espin (Autosomal recessive deafness type 36 protein) (Ectoplasmic specialization protein)	ESPN DFNB36 LP2654	Homo sapiens (Human)	854
B2RTY4	B2RTY4	reviewed	MYO9A_HUMAN	Unconventional myosin-IXa (Unconventional myosin-9a)	MYO9A MYR7	Homo sapiens (Human)	2548
B2RXH2	B2RXH2	reviewed	KDM4E_HUMAN	Lysine-specific demethylase 4E (EC 1.14.11.-) (EC 1.14.11.66) (KDM4D-like protein) (Lysine-specific demethylase 4D-like) ([histone H3]-trimethyl-L-lysine(9) demethylase 4E)	KDM4E KDM4DL KDM5E	Homo sapiens (Human)	506
B4DX44	B4DX44	reviewed	ZN736_HUMAN	Zinc finger protein 736	ZNF736	Homo sapiens (Human)	427
B4DXR9	B4DXR9	reviewed	ZN732_HUMAN	Zinc finger protein 732	ZNF732	Homo sapiens (Human)	585
B6A8C7	B6A8C7	reviewed	TARM1_HUMAN	T-cell-interacting, activating receptor on myeloid cells protein 1 (OSCAR-like transcript-2 protein) (OLT-2)	TARM1	Homo sapiens (Human)	271
B7ZC32	B7ZC32	reviewed	KIF28_HUMAN	Kinesin-like protein KIF28P (Kinesin-like protein 6)	KIF28P KLP6	Homo sapiens (Human)	967
C9J2P7	C9J2P7	reviewed	U17LF_HUMAN	Ubiquitin carboxyl-terminal hydrolase 17-like protein 15 (EC 3.4.19.12)	USP17L15	Homo sapiens (Human)	553
C9JJH3	C9JJH3	reviewed	U17LA_HUMAN	Ubiquitin carboxyl-terminal hydrolase 17-like protein 10 (EC 3.4.19.12)	USP17L10	Homo sapiens (Human)	530
C9JLJ4	C9JLJ4	reviewed	U17LD_HUMAN	Ubiquitin carboxyl-terminal hydrolase 17-like protein 13 (EC 3.4.19.12)	USP17L13	Homo sapiens (Human)	530
C9JLW8	C9JLW8	reviewed	MCRI1_HUMAN	Mapk-regulated corepressor-interacting protein 1 (Granulin-2) (Protein FAM195B)	MCRIP1 FAM195B GRAN2	Homo sapiens (Human)	97
C9JPN9	C9JPN9	reviewed	UL17C_HUMAN	Ubiquitin carboxyl-terminal hydrolase 17-like protein 12 (EC 3.4.19.12)	USP17L12	Homo sapiens (Human)	530
C9JR72	C9JR72	reviewed	KBTBD_HUMAN	Kelch repeat and BTB domain-containing protein 13	KBTBD13	Homo sapiens (Human)	458
C9JRZ8	C9JRZ8	reviewed	AK1BF_HUMAN	Aldo-keto reductase family 1 member B15 (EC 1.1.1.-) (EC 1.1.1.300) (EC 1.1.1.54) (Estradiol 17-beta-dehydrogenase AKR1B15) (Farnesol dehydrogenase) (EC 1.1.1.216) (Testosterone 17beta-dehydrogenase) (EC 1.1.1.64)	AKR1B15	Homo sapiens (Human)	316
C9JVI0	C9JVI0	reviewed	U17LB_HUMAN	Ubiquitin carboxyl-terminal hydrolase 17-like protein 11 (EC 3.4.19.12)	USP17L11	Homo sapiens (Human)	530
D6R901	D6R901	reviewed	U17LL_HUMAN	Ubiquitin carboxyl-terminal hydrolase 17-like protein 21 (EC 3.4.19.12)	USP17L21	Homo sapiens (Human)	530
D6R9N7	D6R9N7	reviewed	U17LI_HUMAN	Ubiquitin carboxyl-terminal hydrolase 17-like protein 18 (EC 3.4.19.12)	USP17L18	Homo sapiens (Human)	530
D6RA61	D6RA61	reviewed	U17LM_HUMAN	Ubiquitin carboxyl-terminal hydrolase 17-like protein 22 (EC 3.4.19.12)	USP17L22	Homo sapiens (Human)	530
D6RBQ6	D6RBQ6	reviewed	U17LH_HUMAN	Ubiquitin carboxyl-terminal hydrolase 17-like protein 17 (EC 3.4.19.12)	USP17L17	Homo sapiens (Human)	530
D6RCP7	D6RCP7	reviewed	U17LJ_HUMAN	Ubiquitin carboxyl-terminal hydrolase 17-like protein 19 (EC 3.4.19.12)	USP17L19	Homo sapiens (Human)	530
D6RJB6	D6RJB6	reviewed	U17LK_HUMAN	Ubiquitin carboxyl-terminal hydrolase 17-like protein 20 (EC 3.4.19.12)	USP17L20	Homo sapiens (Human)	530
I3L1E1	I3L1E1	reviewed	CS084_HUMAN	piRNA-mediated silencing protein C19orf84	C19orf84	Homo sapiens (Human)	186
I6L899	I6L899	reviewed	GOG8R_HUMAN	Golgin subfamily A member 8R	GOLGA8R	Homo sapiens (Human)	631
O00115	O00115	reviewed	DNS2A_HUMAN	Deoxyribonuclease-2-alpha (EC 3.1.22.1) (Acid DNase) (Deoxyribonuclease II alpha) (DNase II alpha) (Lysosomal DNase II) (R31240_2)	DNASE2 DNASE2A DNL2	Homo sapiens (Human)	360
O00116	O00116	reviewed	ADAS_HUMAN	Alkyldihydroxyacetonephosphate synthase, peroxisomal (Alkyl-DHAP synthase) (EC 2.5.1.26) (Aging-associated gene 5 protein) (Alkylglycerone-phosphate synthase)	AGPS AAG5	Homo sapiens (Human)	658
O00139	O00139	reviewed	KIF2A_HUMAN	Kinesin-like protein KIF2A (Kinesin-2) (hK2)	KIF2A KIF2 KNS2	Homo sapiens (Human)	706
O00141	O00141	reviewed	SGK1_HUMAN	Serine/threonine-protein kinase Sgk1 (EC 2.7.11.1) (Serum/glucocorticoid-regulated kinase 1)	SGK1 SGK	Homo sapiens (Human)	431
O00142	O00142	reviewed	KITM_HUMAN	Thymidine kinase 2, mitochondrial (EC 2.7.1.21) (2'-deoxyuridine kinase TK2) (EC 2.7.1.74) (Deoxycytidine kinase TK2) (EC 2.7.1.-) (Mt-TK)	TK2	Homo sapiens (Human)	265
O00144	O00144	reviewed	FZD9_HUMAN	Frizzled-9 (Fz-9) (hFz9) (FzE6) (CD antigen CD349)	FZD9 FZD3	Homo sapiens (Human)	591
O00148	O00148	reviewed	DX39A_HUMAN	ATP-dependent RNA helicase DDX39A (EC 3.6.4.13) (DEAD box protein 39) (Nuclear RNA helicase URH49)	DDX39A DDX39	Homo sapiens (Human)	427
O00155	O00155	reviewed	GPR25_HUMAN	C-X-C chemokine receptor GPR25 (G-protein coupled receptor 25)	GPR25	Homo sapiens (Human)	361
O00159	O00159	reviewed	MYO1C_HUMAN	Unconventional myosin-Ic (Myosin I beta) (MMI-beta) (MMIb)	MYO1C	Homo sapiens (Human)	1063
O00159	O00159-3	reviewed	MYO1C_HUMAN	Isoform 3 of Unconventional myosin-Ic (Myosin I beta) (MMI-beta) (MMIb)	MYO1C	Homo sapiens (Human)	1044
O00161	O00161	reviewed	SNP23_HUMAN	Synaptosomal-associated protein 23 (SNAP-23) (Vesicle-membrane fusion protein SNAP-23)	SNAP23	Homo sapiens (Human)	211
O00167	O00167	reviewed	EYA2_HUMAN	Protein phosphatase EYA2 (EC 3.1.3.48) (Eyes absent homolog 2)	EYA2 EAB1	Homo sapiens (Human)	538
O00168	O00168	reviewed	PLM_HUMAN	Phospholemman (FXYD domain-containing ion transport regulator 1) (Sodium/potassium-transporting ATPase subunit FXYD1)	FXYD1 PLM	Homo sapiens (Human)	92
O00170	O00170	reviewed	AIP_HUMAN	AH receptor-interacting protein (AIP) (Aryl-hydrocarbon receptor-interacting protein) (HBV X-associated protein 2) (XAP-2) (Immunophilin homolog ARA9)	AIP XAP2	Homo sapiens (Human)	330
O00180	O00180	reviewed	KCNK1_HUMAN	Potassium channel subfamily K member 1 (Inward rectifying potassium channel protein TWIK-1) (Potassium channel K2P1) (Potassium channel KCNO1)	KCNK1 HOHO1 KCNO1 TWIK1	Homo sapiens (Human)	336
O00182	O00182	reviewed	LEG9_HUMAN	Galectin-9 (Gal-9) (Ecalectin) (Tumor antigen HOM-HD-21)	LGALS9	Homo sapiens (Human)	355
O00186	O00186	reviewed	STXB3_HUMAN	Syntaxin-binding protein 3 (Platelet Sec1 protein) (PSP) (Protein unc-18 homolog 3) (Unc18-3) (Protein unc-18 homolog C) (Unc-18C)	STXBP3	Homo sapiens (Human)	592
O00189	O00189	reviewed	AP4M1_HUMAN	AP-4 complex subunit mu-1 (AP-4 adaptor complex mu subunit) (Adaptor-related protein complex 4 subunit mu-1) (Mu subunit of AP-4) (Mu-adaptin-related protein 2) (mu-ARP2) (Mu4-adaptin) (mu4)	AP4M1 MUARP2	Homo sapiens (Human)	453
O00194	O00194	reviewed	RB27B_HUMAN	Ras-related protein Rab-27B (EC 3.6.5.2) (C25KG)	RAB27B	Homo sapiens (Human)	218
O00203	O00203	reviewed	AP3B1_HUMAN	AP-3 complex subunit beta-1 (Adaptor protein complex AP-3 subunit beta-1) (Adaptor-related protein complex 3 subunit beta-1) (Beta-3A-adaptin) (Clathrin assembly protein complex 3 beta-1 large chain)	AP3B1 ADTB3A	Homo sapiens (Human)	1094
O00204-2	O00204-2	reviewed	ST2B1_HUMAN	Isoform 2 of Sulfotransferase 2B1 (EC 2.8.2.2) (Alcohol sulfotransferase) (Hydroxysteroid sulfotransferase 2) (Sulfotransferase family 2B member 1) (Sulfotransferase family cytosolic 2B member 1) (ST2B1)	SULT2B1 HSST2	Homo sapiens (Human)	350
O00206	O00206	reviewed	TLR4_HUMAN	Toll-like receptor 4 (hToll) (CD antigen CD284)	TLR4	Homo sapiens (Human)	839
O00212	O00212	reviewed	RHOD_HUMAN	Rho-related GTP-binding protein RhoD (Rho-related protein HP1) (RhoHP1)	RHOD ARHD	Homo sapiens (Human)	210
O00213	O00213	reviewed	APBB1_HUMAN	Amyloid beta precursor protein binding family B member 1 (Amyloid-beta A4 precursor protein-binding family B member 1) (Protein Fe65)	APBB1 FE65 RIR	Homo sapiens (Human)	710
O00217	O00217	reviewed	NDUS8_HUMAN	NADH dehydrogenase [ubiquinone] iron-sulfur protein 8, mitochondrial (EC 7.1.1.2) (Complex I-23kD) (CI-23kD) (NADH-ubiquinone oxidoreductase 23 kDa subunit) (TYKY subunit)	NDUFS8	Homo sapiens (Human)	210
O00219	O00219	reviewed	HYAS3_HUMAN	Hyaluronan synthase 3 (EC 2.4.1.212) (Hyaluronate synthase 3) (Hyaluronic acid synthase 3) (HA synthase 3)	HAS3	Homo sapiens (Human)	553
O00220	O00220	reviewed	TR10A_HUMAN	Tumor necrosis factor receptor superfamily member 10A (Death receptor 4) (TNF-related apoptosis-inducing ligand receptor 1) (TRAIL receptor 1) (TRAIL-R1) (CD antigen CD261)	TNFRSF10A APO2 DR4 TRAILR1	Homo sapiens (Human)	468
O00221	O00221	reviewed	IKBE_HUMAN	NF-kappa-B inhibitor epsilon (NF-kappa-BIE) (I-kappa-B-epsilon) (IkB-E) (IkB-epsilon) (IkappaBepsilon)	NFKBIE IKBE	Homo sapiens (Human)	500
O00222	O00222	reviewed	GRM8_HUMAN	Metabotropic glutamate receptor 8 (mGluR8)	GRM8 GPRC1H MGLUR8	Homo sapiens (Human)	908
O00230	O00230	reviewed	CORT_HUMAN	Cortistatin [Cleaved into: Cortistatin-29; Cortistatin-17; Cortistatin-14]	CORT UNQ307/PRO350	Homo sapiens (Human)	105
O00231	O00231	reviewed	PSD11_HUMAN	26S proteasome non-ATPase regulatory subunit 11 (26S proteasome regulatory subunit RPN6) (26S proteasome regulatory subunit S9) (26S proteasome regulatory subunit p44.5)	PSMD11	Homo sapiens (Human)	422
O00232	O00232	reviewed	PSD12_HUMAN	26S proteasome non-ATPase regulatory subunit 12 (26S proteasome regulatory subunit RPN5) (26S proteasome regulatory subunit p55)	PSMD12	Homo sapiens (Human)	456
O00233	O00233	reviewed	PSMD9_HUMAN	26S proteasome non-ATPase regulatory subunit 9 (26S proteasome regulatory subunit p27)	PSMD9	Homo sapiens (Human)	223
O00237	O00237	reviewed	RN103_HUMAN	E3 ubiquitin-protein ligase RNF103 (EC 2.3.2.27) (KF-1) (hKF-1) (RING finger protein 103) (RING-type E3 ubiquitin transferase RNF103) (Zinc finger protein 103 homolog) (Zfp-103)	RNF103 ZFP103	Homo sapiens (Human)	685
O00238	O00238	reviewed	BMR1B_HUMAN	Bone morphogenetic protein receptor type-1B (BMP type-1B receptor) (BMPR-1B) (EC 2.7.11.30) (CD antigen CDw293)	BMPR1B	Homo sapiens (Human)	502
O00241	O00241	reviewed	SIRB1_HUMAN	Signal-regulatory protein beta-1 (SIRP-beta-1) (CD172 antigen-like family member B) (CD antigen CD172b)	SIRPB1	Homo sapiens (Human)	398
O00244	O00244	reviewed	ATOX1_HUMAN	Copper transport protein ATOX1 (Metal transport protein ATX1)	ATOX1 HAH1	Homo sapiens (Human)	68
O00253	O00253	reviewed	AGRP_HUMAN	Agouti-related protein	AGRP AGRT ART	Homo sapiens (Human)	132
O00254	O00254	reviewed	PAR3_HUMAN	Proteinase-activated receptor 3 (PAR-3) (Coagulation factor II receptor-like 2) (Thrombin receptor-like 2)	F2RL2 PAR3	Homo sapiens (Human)	374
O00255	O00255	reviewed	MEN1_HUMAN	Menin	MEN1 SCG2	Homo sapiens (Human)	610
O00257	O00257	reviewed	CBX4_HUMAN	E3 SUMO-protein ligase CBX4 (EC 2.3.2.-) (Chromobox protein homolog 4) (Polycomb 2 homolog) (Pc2) (hPc2)	CBX4	Homo sapiens (Human)	560
O00258	O00258	reviewed	GET1_HUMAN	Guided entry of tail-anchored proteins factor 1 (Congenital heart disease 5 protein) (Tail-anchored protein insertion receptor WRB) (Tryptophan-rich basic protein)	GET1 CHD5 WRB	Homo sapiens (Human)	174
O00264	O00264	reviewed	PGRC1_HUMAN	Membrane-associated progesterone receptor component 1 (mPR) (Dap1) (IZA)	PGRMC1 HPR6.6 PGRMC	Homo sapiens (Human)	195
O00267	O00267	reviewed	SPT5H_HUMAN	Transcription elongation factor SPT5 (hSPT5) (DRB sensitivity-inducing factor 160 kDa subunit) (DSIF p160) (DRB sensitivity-inducing factor large subunit) (DSIF large subunit) (Tat-cotransactivator 1 protein) (Tat-CT1 protein)	SUPT5H SPT5 SPT5H	Homo sapiens (Human)	1087
O00268	O00268	reviewed	TAF4_HUMAN	Transcription initiation factor TFIID subunit 4 (RNA polymerase II TBP-associated factor subunit C) (TBP-associated factor 4) (Transcription initiation factor TFIID 130 kDa subunit) (TAF(II)130) (TAFII-130) (TAFII130) (Transcription initiation factor TFIID 135 kDa subunit) (TAF(II)135) (TAFII-135) (TAFII135)	TAF4 TAF2C TAF2C1 TAF4A TAFII130 TAFII135	Homo sapiens (Human)	1085
O00270	O00270	reviewed	GPR31_HUMAN	12-(S)-hydroxy-5,8,10,14-eicosatetraenoic acid receptor (12-(S)-HETE receptor) (12-HETER) (G-protein coupled receptor 31) (GPR31/12-HETER)	GPR31	Homo sapiens (Human)	319
O00273	O00273	reviewed	DFFA_HUMAN	DNA fragmentation factor subunit alpha (DNA fragmentation factor 45 kDa subunit) (DFF-45) (Inhibitor of CAD) (ICAD)	DFFA DFF1 DFF45 H13	Homo sapiens (Human)	331
O00291	O00291	reviewed	HIP1_HUMAN	Huntingtin-interacting protein 1 (HIP-1) (Huntingtin-interacting protein I) (HIP-I)	HIP1	Homo sapiens (Human)	1037
O00292	O00292	reviewed	LFTY2_HUMAN	Left-right determination factor 2 (Endometrial bleeding-associated factor) (Left-right determination factor A) (Protein lefty-2) (Protein lefty-A) (Transforming growth factor beta-4) (TGF-beta-4)	LEFTY2 EBAF LEFTA LEFTYA TGFB4 PSEC0024	Homo sapiens (Human)	366
O00300	O00300	reviewed	TR11B_HUMAN	Tumor necrosis factor receptor superfamily member 11B (Osteoclastogenesis inhibitory factor) (Osteoprotegerin)	TNFRSF11B OCIF OPG	Homo sapiens (Human)	401
O00303	O00303	reviewed	EIF3F_HUMAN	Eukaryotic translation initiation factor 3 subunit F (eIF3f) (Deubiquitinating enzyme eIF3f) (EC 3.4.19.12) (Eukaryotic translation initiation factor 3 subunit 5) (eIF-3-epsilon) (eIF3 p47)	EIF3F EIF3S5	Homo sapiens (Human)	357
O00305	O00305	reviewed	CACB4_HUMAN	Voltage-dependent L-type calcium channel subunit beta-4 (CAB4) (Calcium channel voltage-dependent subunit beta 4)	CACNB4 CACNLB4	Homo sapiens (Human)	520
O00308	O00308	reviewed	WWP2_HUMAN	NEDD4-like E3 ubiquitin-protein ligase WWP2 (EC 2.3.2.26) (Atrophin-1-interacting protein 2) (AIP2) (HECT-type E3 ubiquitin transferase WWP2) (WW domain-containing protein 2)	WWP2	Homo sapiens (Human)	870
O00311	O00311	reviewed	CDC7_HUMAN	Cell division cycle 7-related protein kinase (CDC7-related kinase) (HsCdc7) (huCdc7) (EC 2.7.11.1)	CDC7 CDC7L1	Homo sapiens (Human)	574
O00322	O00322	reviewed	UPK1A_HUMAN	Uroplakin-1a (UP1a) (Tetraspanin-21) (Tspan-21) (Uroplakin Ia) (UPIa) (UPKa)	UPK1A TSPAN21	Homo sapiens (Human)	258
O00327	O00327	reviewed	BMAL1_HUMAN	Basic helix-loop-helix ARNT-like protein 1 (Aryl hydrocarbon receptor nuclear translocator-like protein 1) (Basic-helix-loop-helix-PAS protein MOP3) (Brain and muscle ARNT-like 1) (Class E basic helix-loop-helix protein 5) (bHLHe5) (Member of PAS protein 3) (PAS domain-containing protein 3) (bHLH-PAS protein JAP3)	BMAL1 ARNTL BHLHE5 MOP3 PASD3	Homo sapiens (Human)	626
O00329	O00329	reviewed	PK3CD_HUMAN	Phosphatidylinositol 4,5-bisphosphate 3-kinase catalytic subunit delta isoform (PI3-kinase subunit delta) (PI3K-delta) (PI3Kdelta) (PtdIns-3-kinase subunit delta) (EC 2.7.1.137) (EC 2.7.1.153) (Phosphatidylinositol 4,5-bisphosphate 3-kinase 110 kDa catalytic subunit delta) (PtdIns-3-kinase subunit p110-delta) (p110delta)	PIK3CD	Homo sapiens (Human)	1044
O00330	O00330	reviewed	ODPX_HUMAN	Pyruvate dehydrogenase protein X component, mitochondrial (Dihydrolipoamide dehydrogenase-binding protein of pyruvate dehydrogenase complex) (E3-binding protein) (E3BP) (Lipoyl-containing pyruvate dehydrogenase complex component X) (proX)	PDHX PDX1	Homo sapiens (Human)	501
O00337	O00337	reviewed	S28A1_HUMAN	Sodium/nucleoside cotransporter 1 (Concentrative nucleoside transporter 1) (CNT 1) (hCNT1) (Na(+)/nucleoside cotransporter 1) (Sodium-coupled nucleoside transporter 1) (Solute carrier family 28 member 1)	SLC28A1 CNT1	Homo sapiens (Human)	649
O00338	O00338	reviewed	ST1C2_HUMAN	Sulfotransferase 1C2 (ST1C2) (EC 2.8.2.1) (Sulfotransferase 1C1) (SULT1C#1) (humSULTC2)	SULT1C2 SULT1C1	Homo sapiens (Human)	296
O00341	O00341	reviewed	EAA5_HUMAN	Excitatory amino acid transporter 5 (Retinal glutamate transporter) (Solute carrier family 1 member 7)	SLC1A7 EAAT5	Homo sapiens (Human)	560
O00391	O00391	reviewed	QSOX1_HUMAN	Sulfhydryl oxidase 1 (hQSOX) (EC 1.8.3.2) (Quiescin Q6)	QSOX1 QSCN6 UNQ2520/PRO6013	Homo sapiens (Human)	747
O00398	O00398	reviewed	P2Y10_HUMAN	Putative P2Y purinoceptor 10 (P2Y10) (P2Y-like receptor)	P2RY10	Homo sapiens (Human)	339
O00399	O00399	reviewed	DCTN6_HUMAN	Dynactin subunit 6 (Dynactin subunit p27) (Protein WS-3)	DCTN6 WS3	Homo sapiens (Human)	190
O00400	O00400	reviewed	ACATN_HUMAN	Acetyl-coenzyme A transporter 1 (AT-1) (Acetyl-CoA transporter 1) (Solute carrier family 33 member 1)	SLC33A1 ACATN AT1	Homo sapiens (Human)	549
O00401	O00401	reviewed	WASL_HUMAN	Actin nucleation-promoting factor WASL (Neural Wiskott-Aldrich syndrome protein) (N-WASP)	WASL	Homo sapiens (Human)	505
O00410	O00410	reviewed	IPO5_HUMAN	Importin-5 (Imp5) (Importin subunit beta-3) (Karyopherin beta-3) (Ran-binding protein 5) (RanBP5)	IPO5 KPNB3 RANBP5	Homo sapiens (Human)	1097
O00411	O00411	reviewed	RPOM_HUMAN	DNA-directed RNA polymerase, mitochondrial (MtRPOL) (EC 2.7.7.6)	POLRMT	Homo sapiens (Human)	1230
O00418	O00418	reviewed	EF2K_HUMAN	Eukaryotic elongation factor 2 kinase (eEF-2 kinase) (eEF-2K) (EC 2.7.11.20) (Calcium/calmodulin-dependent eukaryotic elongation factor 2 kinase)	EEF2K	Homo sapiens (Human)	725
O00421	O00421	reviewed	CCRL2_HUMAN	C-C chemokine receptor-like 2 (Chemokine receptor CCR11) (Chemokine receptor X) (Putative MCP-1 chemokine receptor)	CCRL2 CCR11 CCR6 CKRX CRAM HCR	Homo sapiens (Human)	344
O00422	O00422	reviewed	SAP18_HUMAN	Histone deacetylase complex subunit SAP18 (18 kDa Sin3-associated polypeptide) (2HOR0202) (Cell growth-inhibiting gene 38 protein) (Sin3-associated polypeptide p18)	SAP18 GIG38	Homo sapiens (Human)	153
O00429	O00429	reviewed	DNM1L_HUMAN	Dynamin-1-like protein (EC 3.6.5.5) (Dnm1p/Vps1p-like protein) (DVLP) (Dynamin family member proline-rich carboxyl-terminal domain less) (Dymple) (Dynamin-like protein) (Dynamin-like protein 4) (Dynamin-like protein IV) (HdynIV) (Dynamin-related protein 1)	DNM1L DLP1 DRP1	Homo sapiens (Human)	736
O00443	O00443	reviewed	P3C2A_HUMAN	Phosphatidylinositol 4-phosphate 3-kinase C2 domain-containing subunit alpha (PI3K-C2-alpha) (PtdIns-3-kinase C2 subunit alpha) (EC 2.7.1.137) (EC 2.7.1.153) (EC 2.7.1.154) (Phosphoinositide 3-kinase-C2-alpha)	PIK3C2A	Homo sapiens (Human)	1686
O00444	O00444	reviewed	PLK4_HUMAN	Serine/threonine-protein kinase PLK4 (EC 2.7.11.21) (Polo-like kinase 4) (PLK-4) (Serine/threonine-protein kinase 18) (Serine/threonine-protein kinase Sak)	PLK4 SAK STK18	Homo sapiens (Human)	970
O00445	O00445	reviewed	SYT5_HUMAN	Synaptotagmin-5 (Synaptotagmin V) (SytV)	SYT5	Homo sapiens (Human)	386
O00451	O00451	reviewed	GFRA2_HUMAN	GDNF family receptor alpha-2 (GDNF receptor alpha-2) (GDNFR-alpha-2) (GFR-alpha-2) (GDNF receptor beta) (GDNFR-beta) (Neurturin receptor alpha) (NRTNR-alpha) (NTNR-alpha) (RET ligand 2) (TGF-beta-related neurotrophic factor receptor 2)	GFRA2 GDNFRB RETL2 TRNR2	Homo sapiens (Human)	464
O00459	O00459	reviewed	P85B_HUMAN	Phosphatidylinositol 3-kinase regulatory subunit beta (PI3-kinase regulatory subunit beta) (PI3K regulatory subunit beta) (PtdIns-3-kinase regulatory subunit beta) (Phosphatidylinositol 3-kinase 85 kDa regulatory subunit beta) (PI3-kinase subunit p85-beta) (PtdIns-3-kinase regulatory subunit p85-beta)	PIK3R2	Homo sapiens (Human)	728
O00461	O00461	reviewed	GOLI4_HUMAN	Golgi integral membrane protein 4 (Golgi integral membrane protein, cis) (GIMPc) (Golgi phosphoprotein 4) (Golgi-localized phosphoprotein of 130 kDa) (Golgi phosphoprotein of 130 kDa)	GOLIM4 GIMPC GOLPH4 GPP130	Homo sapiens (Human)	696
O00462	O00462	reviewed	MANBA_HUMAN	Beta-mannosidase (EC 3.2.1.25) (Lysosomal beta A mannosidase) (Mannanase) (Mannase)	MANBA MANB1	Homo sapiens (Human)	879
O00468	O00468	reviewed	AGRIN_HUMAN	Agrin [Cleaved into: Agrin N-terminal 110 kDa subunit; Agrin C-terminal 110 kDa subunit; Agrin C-terminal 90 kDa fragment (C90); Agrin C-terminal 22 kDa fragment (C22)]	AGRN AGRIN	Homo sapiens (Human)	2068
O00469	O00469	reviewed	PLOD2_HUMAN	Procollagen-lysine,2-oxoglutarate 5-dioxygenase 2 (EC 1.14.11.4) (Lysyl hydroxylase 2) (LH2)	PLOD2	Homo sapiens (Human)	737
O00470	O00470	reviewed	MEIS1_HUMAN	Homeobox protein Meis1	MEIS1	Homo sapiens (Human)	390
O00471	O00471	reviewed	EXOC5_HUMAN	Exocyst complex component 5 (Exocyst complex component Sec10) (hSec10)	EXOC5 SEC10 SEC10L1	Homo sapiens (Human)	708
O00472	O00472	reviewed	ELL2_HUMAN	RNA polymerase II elongation factor ELL2	ELL2	Homo sapiens (Human)	640
O00476	O00476	reviewed	NPT4_HUMAN	Sodium-dependent phosphate transport protein 4 (Na(+)/PI cotransporter 4) (NPT4) (Sodium/phosphate cotransporter 4) (Solute carrier family 17 member 3)	SLC17A3 NPT4	Homo sapiens (Human)	420
O00476-2	O00476-2	reviewed	NPT4_HUMAN	Isoform 2 of Sodium-dependent phosphate transport protein 4 (Na(+)/PI cotransporter 4) (NPT4) (Sodium/phosphate cotransporter 4) (Solute carrier family 17 member 3)	SLC17A3 NPT4	Homo sapiens (Human)	498
O00478	O00478	reviewed	BT3A3_HUMAN	Butyrophilin subfamily 3 member A3	BTN3A3 BTF3	Homo sapiens (Human)	584
O00481	O00481	reviewed	BT3A1_HUMAN	Butyrophilin subfamily 3 member A1 (CD antigen CD277)	BTN3A1 BTF5	Homo sapiens (Human)	513
O00482	O00482	reviewed	NR5A2_HUMAN	Nuclear receptor subfamily 5 group A member 2 (Alpha-1-fetoprotein transcription factor) (B1-binding factor) (hB1F) (CYP7A promoter-binding factor) (Hepatocytic transcription factor) (Liver receptor homolog 1) (LRH-1)	NR5A2 B1F CPF FTF	Homo sapiens (Human)	541
O00482	O00482-2	reviewed	NR5A2_HUMAN	Isoform 1 of Nuclear receptor subfamily 5 group A member 2 (Alpha-1-fetoprotein transcription factor) (B1-binding factor) (hB1F) (CYP7A promoter-binding factor) (Hepatocytic transcription factor) (Liver receptor homolog 1) (LRH-1)	NR5A2 B1F CPF FTF	Homo sapiens (Human)	495
O00482	O00482-3	reviewed	NR5A2_HUMAN	Isoform 3 of Nuclear receptor subfamily 5 group A member 2 (Alpha-1-fetoprotein transcription factor) (B1-binding factor) (hB1F) (CYP7A promoter-binding factor) (Hepatocytic transcription factor) (Liver receptor homolog 1) (LRH-1)	NR5A2 B1F CPF FTF	Homo sapiens (Human)	369
O00483	O00483	reviewed	CXFA4_HUMAN	Cytochrome c oxidase subunit FA4 (Complex I-MLRQ) (CI-MLRQ) (Cytochrome c oxidase subunit NDUFA4) (NADH-ubiquinone oxidoreductase MLRQ subunit)	COXFA4 NDUFA4	Homo sapiens (Human)	81
O00487	O00487	reviewed	PSDE_HUMAN	Ubiquitin C-terminal hydrolase PSMD14 (EC 3.4.19.12) (26S proteasome non-ATPase regulatory subunit 14) (26S proteasome regulatory subunit RPN11) (26S proteasome-associated PAD1 homolog 1)	PSMD14 POH1	Homo sapiens (Human)	310
